Composer,Work,Measure(a),M.M.(b),Key,Instrumentation,Emotion,num. stimuli,Made_Chimeras,Notes
Beethoven,Piano Concerto no. 4 (3rd mvt),191–200(2),150,G Maj,Piano and orchestra,Happy,3,03.wav_01.wav,(a)=The number in parentheses indicates beat number in the measure.
Beethoven,Piano Concerto no. 4 (3rd mvt),439–452(2),150,G Maj,Piano and orchestra,Happy,11,11.wav_02.wav,(b)=This value corresponds to a half note.
Beethoven,Symphony no. 3 (3rd mvt),38–56,180b,F Maj,Orchestra,Happy,26,26.wav_04.wav,
Beethoven,Symphony no. 6 (3rd mvt),9(3)–16(1),240,D Maj,Orchestra,Happy,17,17.wav_05.wav,
Haendel,Utrecht's Te Deum,5–14(1),112,D Maj,Orchestra,Happy,6,06.wav_23.wav,
Mozart,Die Zauberflöte (Act 1 no. 2 Papageno's Aria),18(2)–24(2),80,G Maj,Orchestra,Happy,25,25.wav_27.wav,
Mozart,Eine kleine nachtmusik (1st mvt),5(3)–10(3),154,G Maj,String orchestra,Happy,28,28.wav_19.wav,
Mozart,Piano Concerto no. 23 (3rd mvt),1–8,255,A Maj,Piano,Happy,31,31.wav_10.wav,
Mozart,Piano Concerto no. 27 (3rd mvt),1–8,167,B flat Maj,Piano and orchestra,Happy,18,18.wav_16.wav,
Ravel,Tombeau de Couperin (Rigaudon),Bar1–9(2),100,C Maj,Piano,Happy,24,24.wav_22.wav,
Saint-Saëns,Carnaval des Animaux (Finale),10–26(4),220,C Maj,Piano and orchestra,Happy,7,07.wav_30.wav,
Saint-Saëns,Carnaval des Animaux (La volière),1–9(2),88,F Maj,Piano and orchestra,Happy,15,15.wav_08.wav,
Schumann,Kinderszenen (Op 15 no. 9),1–9,240,C Maj,Piano,Happy,14,14.wav_20.wav,
Verdi,La Traviatta (Brindisi),1–15(1),100,B flat Maj,Orchestra,Happy,29,29.wav_12.wav,
Verdi,Rigoletto (Act 1 no. 4),69–73,150,C Maj,Orchestra,Happy,21,21.wav_09.wav,
Vivaldi,L'Autunno (1st mvt),1(2)–4(3),126,F Maj,Orchestra,Happy,32,32.wav_13.wav,
Albinoni,Adagio,7–14(1),48,G min,Orchestra,Sad,1,03.wav_01.wav,
Bach,Passionsmusik nach dem evangelisten Matthäus,1–5(2),67,E min,Orchestra,Sad,2,11.wav_02.wav,
Brahms,Piano Concerto no. 1 (2nd mvt),21(3)–24(1),48,D Maj,Piano and orchestra,Sad,4,26.wav_04.wav,
Bruch,Kol Nidrei,9–11(1),20,D min,Double bass and organ,Sad,5,17.wav_05.wav,
Chopin,Nocturne Op 27 no. 1,2(2)–6(3),72,C sharp min,Piano,Sad,23,06.wav_23.wav,
Chopin,Nocture Op 48 no. 1,1–4(1),52,C min,Piano,Sad,27,25.wav_27.wav,
Chopin,Nocturne Op 9 no. 1,0–4(1),100,B flat min,Piano,Sad,19,28.wav_19.wav,
Debussy,Prélude: Des pas sur la Neige,4–8(1),35,D min,Piano,Sad,10,31.wav_10.wav,
Grieg,Peer Gynt's Suite no. 2 (Solveigs lied),13(4)–17(3),69,A min,Orchestra,Sad,16,18.wav_16.wav,
Mahler,Symphony no. 5 (3rd mvt),12(4)–16(3),54,A min,Orchestra,Sad,22,24.wav_22.wav,
Mozart,Piano Concerto no. 23 (2nd mvt),1–3,35,F sharp min,Piano,Sad,30,07.wav_30.wav,
Rachmaninov,Piano Concerto no. 2 (2nd mvt),13(2)–17,48,E Maj,Piano and orchestra,Sad,8,15.wav_08.wav,
Ravel,Concerto in G (2nd mvt),1–4(2),38,E Maj,Piano and orchestra,Sad,20,14.wav_20.wav,
Rodrigo,Concerto de Aranjuez (Adagio),1–4(4),40,B min,Guitar and orchestra,Sad,12,29.wav_12.wav,
Saint-Saëns,Carnaval des Animaux (Le cygne),1–5,55,G Maj,Piano and cello,Sad,9,21.wav_09.wav,
Schubert,String Quartet no. 14 (2nd mvt),1–4,72,G min,String quartet,Sad,13,32.wav_13.wav,
